사업자번호,address,industry,ind_rank,payroll,new_payroll,employee,employment,resignation,cmp_years
1148624440,서울 동작구 장승배기로5길 10,(G46442)의료용품 도매업,4,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,7.69 % (1                                            명),7.69 % (1                                            명),20 년
1148624834,강원 태백시 철암공단길 16-15,(C20321)화학 살균ㆍ살충제 및 농업용 약제 제조업,6,"~ 4,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,37.12 % (49                                            명),36.36 % (48                                            명),19 년
1148625639,"서울 강남구 테헤란로 203, 4층,5층",(G46329)기타 가공식품 도매업,6,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,30.77 % (16                                            명),26.92 % (14                                            명),- 년
1148625814,"서울 영등포구 국제금융로2길 7, 7층",(G46329)기타 가공식품 도매업,6,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,11.11 % (2                                            명),22.22 % (4                                            명),19 년
1148626453,"서울 서초구 서초대로 118, 203호","(G46510)컴퓨터 및 주변장치, 소프트웨어 도매업",6,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),19 년
1148628067,"서울 영등포구 경인로 775, 2동 1503호",(N75121)임시 및 일용 인력 공급업,7,"~ 4,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,89.44 % (127                                            명),107.04 % (152                                            명),19 년
1148629810,"서울 서초구 강남대로 341, 8층",(L68121)주거용 건물 개발 및 공급업,6,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),19 년
1148629858,"서울 서초구 서초중앙로29길 12, 2층",(N75122)상용 인력 공급 및 인사관리 서비스업,7,"~ 4,000만원 미만","~ 4,000만원 미만",400명 이상 ~ 700명 미만,111.24 % (99                                            명),106.74 % (95                                            명),19 년
1148631204,"경기 안양시 동안구 시민대로 387, A동 601호",(G46522)통신ㆍ방송장비 및 부품 도매업,6,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,12.12 % (4                                            명),18.18 % (6                                            명),19 년
1148633459,"서울 강남구 학동로 157, 3층",생활용 가구 도매업,,,,,,,
1148633783,"서울 송파구 올림픽로35길 137, 14층",(G46441)의약품 도매업,5,"4,000만원 이상 ~ 6,000만원 미만","4,000만원 이상 ~ 6,000만원 미만",40명 이상 ~ 70명 미만,14.52 % (9                                            명),16.13 % (10                                            명),18 년
1148634161,"서울 관악구 난곡로 215, 3층 301호",비주거용 건물 개발 및 공급업,,,,,,,
1148635175,서울 서초구 강남대로 601,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),20 년
1148635855,서울 강남구 강남대로140길 18,방문 판매업,,,,,,,
1148636102,경기 화성시 정남면 정남산단1길 44,화장품 제조업,,,,,,,
1148636214,서울 서초구 효령로 357,"(F42412)도배, 실내장식 및 내장 목공사업",7,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,187.27 % (206                                            명),83.64 % (92                                            명),18 년
1148636247,"경기 성남시 중원구 양현로405번길 4-3, 관리실",(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,0.00 % (0                                            명),25.00 % (1                                            명),18 년
1148637590,"서울 송파구 송파대로 111, 하비오타워205동 515, 514, 513, 503호",컴퓨터시스템 통합 자문 및 구축 서비스업,,,,,,,
1148638527,"서울 강서구 화곡로 262, 1803호",비주거용 건물 건설업,,,,,,,
1148638599,"서울 서초구 사평대로20길 7, 202호","(C29133)탭, 밸브 및 유사장치 제조업",5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,34.69 % (17                                            명),28.57 % (14                                            명),18 년
1148638721,"서울 강남구 언주로 601, 10층",(F41100)건물 건설업,6,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",70명 이상 ~ 100명 미만,163.33 % (147                                            명),46.67 % (42                                            명),18 년
1148639564,"서울 강남구 삼성로 633, 3층",상품 종합 도매업,,,,,,,
1148640149,"서울 서초구 서초대로46길 99, 4층 4009호","(F42412)도배, 실내장식 및 내장 목공사업",7,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,225.70 % (1212                                            명),23.46 % (126                                            명),18 년
1148641435,"서울 강남구 도산대로16길 13-16, 지하1층",(G46329)기타 가공식품 도매업,6,"~ 4,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,110.00 % (121                                            명),74.55 % (82                                            명),17 년
1148642341,"서울 영등포구 경인로71길 70, 1001호",(F41121)사무ㆍ상업용 및 공공기관용 건물 건설업,6,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),17 년
1148644198,서울 강남구 도산대로1길 80,(G46442)의료용품 도매업,4,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,40.00 % (12                                            명),36.67 % (11                                            명),17 년
1148644903,"서울 강남구 도산대로 333, 12층",(C27199)그 외 기타 의료용 기기 제조업,4,"~ 4,000만원 미만","~ 4,000만원 미만",70명 이상 ~ 100명 미만,32.26 % (40                                            명),65.32 % (81                                            명),17 년
1148646158,서울 서초구 강남대로 601,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),17 년
1148647609,서울 서초구 서초중앙로33길 6-6,외국어학원,,,,,,,
1148648520,서울 용산구 독서당로 116,(C14300)편조의복 제조업,5,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,63.64 % (21                                            명),69.70 % (23                                            명),17 년
